timestamp,open (PLN),high (PLN),low (PLN),close (PLN),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-04-07,4718.77140111,4785.80839990,4671.29951698,4731.32283332,1186.92418588,1199.59203212,1174.15563288,1186.51632466,1742.35215365,2067329.27361650
2017-04-06,4493.35288958,4753.26810709,4476.69573257,4723.80289136,1132.90189698,1194.64866470,1128.92217613,1188.18976901,3016.51654526,3584194.09711959
2017-04-05,4543.13944772,4549.04275887,4399.63288944,4475.17237070,1141.67877862,1143.34758643,1105.77185406,1128.31807176,1760.01932007,1985861.60547512
2017-04-04,4585.12313749,4639.97731065,4430.47967659,4545.66057405,1155.13925856,1161.89389176,1109.69643861,1142.31233092,2488.98198063,2843194.80791202
2017-04-03,4330.25113682,4613.14397047,4328.81969976,4585.12292068,1091.49943584,1162.12980040,1091.49943584,1155.13920394,2419.63491237,2795015.14650049
2017-04-02,4297.12700189,4348.42220857,4256.97037810,4329.35870375,1082.05877742,1095.66654267,1071.19195232,1091.27448579,961.04802151,1048767.18549175
2017-04-01,4230.90857203,4332.09411555,4221.61404928,4297.08333724,1065.38432651,1090.86384002,1063.04387441,1082.04778223,1005.25392440,1087732.77947744
2017-03-31,4104.85545851,4254.74645766,4104.85545851,4249.23727821,1041.47459182,1072.82722028,1040.22118678,1069.99967471,2060.30359908,2204524.18082775
2017-03-30,4121.89720305,4154.52700163,4047.13143470,4113.05012283,1049.85996502,1057.76271124,1029.66164608,1043.55372342,1559.13952097,1627045.85243547
2017-03-29,4121.45771785,4178.42986312,3975.08417221,4121.88935963,1050.71145682,1061.77536332,1010.85808265,1049.85796727,1870.70747696,1963977.14912169
2017-03-28,4101.14862885,4196.31783157,4016.34599670,4135.04627819,1048.59345755,1076.08411224,1024.29063189,1054.17568162,2347.14074001,2474298.68946467
2017-03-27,3853.27159346,4115.15345752,3847.69484222,4101.14887901,978.97140641,1052.47176487,978.53433082,1048.59352151,2459.97326511,2579512.02888104
2017-03-26,3831.48457288,4030.61020892,3757.37973410,3832.96031151,970.84404679,1021.09268469,951.87397472,973.81107349,1611.45970039,1569257.30072383
2017-03-25,3619.59933661,3840.72030140,3546.42864467,3823.00952694,917.26456043,973.18424989,898.84197340,968.69658992,2668.91082870,2585364.81855668
2017-03-24,4130.20273300,4130.20273300,3573.63876824,3582.31112562,1044.19159217,1044.19159217,905.61741481,907.81512935,3710.34797363,3368310.02561081
